,title,type,post_id,kind_name,room_str,floor_str,community,price,price_unit,photo_list,section_name,street_name,location,rent_tag,area,role_name,contact,refresh_time,yesterday_hit,is_vip,is_combine,hurry,is_socail,surrounding,discount_price_str,cases_id,is_video,preferred
0,"澎湖西衛里,整棟出租,全新裝潢,",1,11358197,其他,7房1廳,整棟/3F,西衛里,"50,000",元/月,"['https://img2.591.com.tw/house/2021/07/01/162512921759050406.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/07/01/162512923556449802.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/07/01/162512923706858409.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/07/01/162512923844288303.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/07/01/162512923812812102.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/07/01/162512924050131707.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/07/01/162512923785322206.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/07/01/162512923977597508.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/07/01/162512923786764605.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/07/01/162512923900634507.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/07/01/162512923978185107.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/07/01/162512924071591701.jpg!510x400.jpg']",馬公市,西衛路,馬公市-西衛路256號,"[{'id': '3', 'name': '拎包入住'}, {'id': '5', 'name': '隨時可遷入'}, {'id': '14', 'name': '免管理費'}, {'id': '15', 'name': '可短租'}]",35,代理人,詢問專線,17分鐘內,58,1,0,0,0,"{'type': 'restaurant', 'desc': '距老上海臭臭鍋', 'distance': '537公尺'}",,,0,0
1,全新無敵海景全新霸氣設備三軍總法院,1,11455151,獨立套房,,6F/6F,昭明御品,"15,888",元/月,"['https://img1.591.com.tw/house/2021/01/09/161020413476306414.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/01/10/161025423742563302.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/01/10/161025423742551177.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/06/02/162257179827123213.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/06/02/162257179827158376.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/06/02/162257179827124970.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/06/02/162257179827176701.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/06/02/162257179827206914.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/06/02/162257179827268524.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/06/02/162257186411448821.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/06/02/162257196979635747.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/06/25/162456979684094858.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/06/25/162456979684055297.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/06/25/162457332537602125.jpg!510x400.jpg']",馬公市,六合路,馬公市-六合路100號,"[{'id': '1', 'name': '屋主直租'}, {'id': '3', 'name': '拎包入住'}, {'id': '10', 'name': '有電梯'}, {'id': '6', 'name': '可開伙'}, {'id': '9', 'name': '有陽台'}]",13,屋主,許姐姐,22小時內,65,0,0,0,0,"{'type': 'restaurant', 'desc': '距仙人掌早午餐-澎湖早午餐/特色醬蛋餅/咖哩蛋包飯/義大利麵/蛋亨堡', 'distance': '59公尺'}",,,0,1
2,歐式鄉村風傢俱全適小家庭或上班族有電梯,1,11450963,整層住家,2房1廳,2F/6F,,"16,000",元/月,"['https://img1.591.com.tw/house/2021/09/18/163193840640846291.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/09/18/163197031330806652.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/09/18/163197031330897068.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/09/18/163197031330930609.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/09/18/163197038019531749.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/09/18/163197044389236918.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/09/18/163197046726532425.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/09/18/163197050564903716.jpg!510x400.jpg']",馬公市,文昌街,馬公市-文昌街50號,"[{'id': '1', 'name': '屋主直租'}, {'id': '3', 'name': '拎包入住'}, {'id': '10', 'name': '有電梯'}, {'id': '5', 'name': '隨時可遷入'}, {'id': '6', 'name': '可開伙'}, {'id': '7', 'name': '可養寵物'}]",25,屋主,陳先生,23小時內,96,0,0,0,0,"{'type': 'restaurant', 'desc': '距澎湖燒烤-呷飽飽燒烤屋', 'distance': '82公尺'}",,0,0,0
3,全聯燦坤大樓新裝潢生活機能超優,1,11467122,整層住家,3房2廳,10F/10F,,"35,000",元/月,"['https://img2.591.com.tw/house/2018/04/14/152370558563437703.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2018/04/14/152370559043246309.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2018/04/14/152370559490741901.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2018/04/14/152370560021204106.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2018/04/14/152370560546537203.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2018/04/14/152370561275834501.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2018/04/14/152370561807532108.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2018/04/14/152370562240122206.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2018/04/14/152370562778993708.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2018/04/14/152370563204829406.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2018/04/14/152370563780436206.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2018/04/14/152370564236042803.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2018/04/14/152370564646832101.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2018/04/14/152370565060798506.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2018/04/14/152370565508881906.jpg!510x400.jpg']",馬公市,文光路,馬公市-文光路,"[{'id': '1', 'name': '屋主直租'}, {'id': '16', 'name': '新上架'}, {'id': '3', 'name': '拎包入住'}, {'id': '4', 'name': '近商圈'}, {'id': '10', 'name': '有電梯'}, {'id': '5', 'name': '隨時可遷入'}]",38,屋主,呂小姐,5天前,69,0,0,0,0,"{'type': 'bus_station', 'desc': '距北辰市場', 'distance': '785公尺'}",,0,0,0
4,文光五福路口分租套房,1,7639899,分租套房,,1F/4F,,"6,000",元/月,"['https://img1.591.com.tw/house/2019/04/30/155660150326126904.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2019/04/30/155660147437648401.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2019/04/30/155660148281071206.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2019/04/30/155660149170521303.jpg!510x400.jpg']",馬公市,後窟潭,馬公市-後窟潭,"[{'id': '1', 'name': '屋主直租'}, {'id': '16', 'name': '新上架'}, {'id': '3', 'name': '拎包入住'}, {'id': '5', 'name': '隨時可遷入'}, {'id': '15', 'name': '可短租'}]",7,屋主,陳先生,6天前,60,0,0,0,0,"{'type': 'restaurant', 'desc': '距阿家生蠔', 'distance': '263公尺'}",,0,0,0
5,冬暖夏涼近澎科大大雅房,1,11455841,雅房,,3F/3F,,"5,000",元/月,"['https://img1.591.com.tw/house/2021/06/20/162416138443598203.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/06/20/162416139614297803.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/06/20/162416140577542808.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/06/20/162416146489861202.jpg!510x400.jpg']",馬公市,朝陽路,馬公市-朝陽路2巷2號,"[{'id': '3', 'name': '拎包入住'}, {'id': '5', 'name': '隨時可遷入'}, {'id': '11', 'name': '押一付一'}]",7,代理人,蕭小姐,7天前,68,0,0,0,0,"{'type': 'bus_station', 'desc': '距北辰市場', 'distance': '593公尺'}",,0,0,0
6,一般套房.套房短期出租,1,11450221,獨立套房,,5F/6F,,"7,000",元/月,"['https://img1.591.com.tw/house/2017/07/24/150088216044801606.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2020/11/03/160439361180663002.jpg!510x400.jpg']",馬公市,中華路,馬公市-中華路22號,"[{'id': '1', 'name': '屋主直租'}, {'id': '10', 'name': '有電梯'}, {'id': '5', 'name': '隨時可遷入'}, {'id': '15', 'name': '可短租'}]",6,屋主,許小姐,9天前,76,0,0,0,0,"{'type': 'bus_station', 'desc': '距北辰市場', 'distance': '320公尺'}",,0,0,0
7,鄭媽媽套房出租,1,11424784,獨立套房,,2F/3F,,"4,500",元/月,"['https://img1.591.com.tw/house/2017/01/24/148522885545428209.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2017/01/24/148522894817364804.jpg!510x400.jpg']",馬公市,貿商街,馬公市-貿商街75號,"[{'id': '1', 'name': '屋主直租'}, {'id': '3', 'name': '拎包入住'}, {'id': '5', 'name': '隨時可遷入'}, {'id': '11', 'name': '押一付一'}, {'id': '15', 'name': '可短租'}]",7,屋主,鄭小姐,10天前,74,0,0,0,0,"{'type': 'bus_station', 'desc': '距北辰市場', 'distance': '526公尺'}",,0,0,0
8,學校公園超商近在咫尺是上班族的最佳選擇,1,11443902,獨立套房,,4F/5F,,"5,500",元/月,"['https://img1.591.com.tw/house/2018/07/03/153060984571595802.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2018/07/03/153060984952940305.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2018/07/03/153060985328425408.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2018/07/03/153060985769304000.jpg!510x400.jpg']",馬公市,陽明路,馬公市-陽明路,"[{'id': '1', 'name': '屋主直租'}, {'id': '3', 'name': '拎包入住'}, {'id': '5', 'name': '隨時可遷入'}, {'id': '9', 'name': '有陽台'}, {'id': '11', 'name': '押一付一'}, {'id': '14', 'name': '免管理費'}]",6.5,屋主,呂先生,11天前,77,0,0,0,0,"{'type': 'bus_station', 'desc': '距北辰市場', 'distance': '404公尺'}",,0,0,0
9,西衛套房可開伙,1,11357569,分租套房,,2F/3F,,"6,300",元/月,"['https://img2.591.com.tw/house/2021/08/29/163024606992560278.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/08/29/163024607002122714.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/08/29/163024607013356124.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/08/30/163025763816298463.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/09/02/163059361038187931.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/09/04/163074920174583860.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/09/04/163074929136027638.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/09/04/163074931191994560.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/09/04/163074931200032069.jpg!510x400.jpg', 'https://img1.591.com.tw/house/2021/09/04/163074931208275658.jpg!510x400.jpg', 'https://img2.591.com.tw/house/2021/09/04/163074934914345666.jpg!510x400.jpg']",馬公市,西衛路,馬公市-西衛路188號,"[{'id': '1', 'name': '屋主直租'}, {'id': '3', 'name': '拎包入住'}, {'id': '6', 'name': '可開伙'}, {'id': '9', 'name': '有陽台'}, {'id': '11', 'name': '押一付一'}, {'id': '15', 'name': '可短租'}]",10,屋主,林先生,11天前,70,0,0,0,0,"{'type': 'restaurant', 'desc': '距老上海臭臭鍋', 'distance': '454公尺'}",,0,0,0
